x y
-0.4752603488  1.4530582972
-0.4056470276  1.5906969715
-0.3500919875  0.9418591265
-0.3877938822  1.1304302677
-0.2335321988  0.7731279240
-0.4248066957  1.1417318948
 0.0936216324  0.1749315935
-0.5186150535  1.2378201108
-0.3816024778  1.2599043195
-0.3739320200  1.3645322349
-0.4614656112  0.9680157140
-0.2730822724  0.5128177586
-0.1823608393  0.7254215501
-0.4124773115  0.9490482923
 0.1281355528 -0.0990869323
-0.3264168033  1.2940471613
-0.4615150626  0.9889600704
-0.4692925246  1.2281949700
-0.4526690166  1.2448211946
-0.4848850382  1.3614445081
-0.0668247945  1.1738270357
-0.3151636261  1.5763643891
-0.3824078350  0.8424220034
-0.4223741365  0.9371165108
-0.4763335122  1.5314661435
-0.4686810475  1.2720737875
-0.2852271296  0.8596185788
-0.3790550368  1.1004739363
-0.3264722113  0.6352826380
-0.3827742597  1.2465970491
 0.1634259355  0.0402066276
 0.2045280543 -0.4190750243
-0.3991705659  1.2439305368
 0.1375513853  0.7605732539
-0.4369816765  1.0833234185
-0.4778280691  1.0171168494
-0.4284646103  1.0704811751
-0.3394777599  1.5474177729
-0.3837015100  1.5185007792
-0.4246621159  1.5098742850
 0.0439027901 -0.1157712304
-0.4579457549  1.2209183636
 0.1509062813  0.5737995822
-0.2570403290  1.1859102850
-0.4061915289  1.2626409038
-0.4245667754  0.9761665001
-0.0024977059  0.2166935992
-0.6936175311  1.2657373643
-0.5206420661  1.3959376451
-0.2098653769  0.5563025008
-0.6271818557  1.6452453713
-0.3335945024  1.1652740103
-0.3892115904  1.0118240956
 0.0124843587  0.0748164406
-0.4070627004  1.3971227666
-0.4285306342  1.5500937621
-0.2221719224  1.5010318611
-0.3878949128  0.6798819421
-0.1661823490  0.6082050077
-0.2351038851  0.7089305358
-0.1693862054  0.6643598746
 0.0446546940  0.4658288154
-0.3717195959  0.8361341495
-0.4302385732  1.1311051621
-0.1053781858  0.6337713461
-0.3733258352  1.3236851471
-0.3357088561  1.3262129300
-0.3402256378  1.3617467180
-0.4406359652  1.3508873563
-0.3421960904  0.8190171987
-0.2325596198  0.6702458531
-0.4226879796  1.1896587210
-0.0512270319  0.5378190951
-0.4923431945  1.2993765331
-0.1936281562  0.8806421264
-0.3696405575  1.1927346719
-0.5598803085  1.7415691405
-0.0775290861  0.4358443660
-0.3757569166  1.0301137527
-0.3714656230  0.6943419104
-0.2814105101  0.9329301428
-0.4284603638  1.0303163060
-0.4179735253  1.4764983194
-0.5200785164  1.2042828126
-0.1945552853  1.2402746075
 0.1938849455  0.5772619536
-0.4331788008  1.5362932400
-0.5284997935  1.3561215062
-0.4624520212  0.9963803132
-0.3550034966  1.5402293377
-0.5877639672  1.7261891003
-0.3238509595  1.2938926671
-0.0080855914  0.4320066873
-0.4254652521  1.2814878879
-0.2659693173  1.5012647157
-0.5048343516  1.3186267170
-0.4915219880  1.2660905163
-0.4548862692  1.4181189157
-0.3972194391  0.9528408567
-0.3987140237  1.5494937132
-0.5933113114  1.3407414750
-0.4064203912  1.0619422920
-0.1762810404  1.3656564285
 0.0938564843 -0.0357403698
-0.3368335158  1.4281023828
 0.1819045028 -0.2636034977
-0.5838615677  1.3229425164
-0.1628761797  1.0247729131
 0.1627914117 -0.0195421077
-0.6000306241  1.4473131088
-0.4891228680  1.1265859280
-0.5083813660  1.4056024552
-0.1987739395  0.6681062379
-0.2915288965  0.6975780337
-0.4749220816  1.3267863102
-0.3308157470  1.6967057809
-0.5143031399  1.4704986935
 0.1352972175  0.2385478877
-0.3313350999  1.2607628449
-0.2656292877  0.7264011621
-0.4212500778  1.6486722004
-0.1319815987  0.7298125072
-0.7493457803  1.7806844706
-0.4478904585  1.3330642010
-0.3895969394  1.0909278526
 0.1497280509  0.0685568951
-0.3244552614  1.1659561872
-0.4307996595  1.1141437497
-0.5239716048  1.4769475022
-0.6811618051  1.4293161521
-0.1279967084  0.9043367922
-0.5041022044  1.3810067193
-0.6003080995  1.2718183816
-0.5034722608  1.4337378405
-0.5356242645  1.3771058173
-0.2942809756  1.7355030889
-1.1318233454  1.9152520550
-0.6581876168  1.4022441823
-0.1371117793  0.5599066250
-0.4723743756  1.4640869604
-0.4387618264  1.4771067780
 0.2069502581  0.1389339403
-0.4614418099  1.5300074900
 0.0712348867  0.0881360887
-0.2767169343  1.2831654905
 0.1818038891 -0.0273344077
 0.0473868630  0.5108130105
-0.4451611953  1.2067719231
-0.3109302446  0.6936390262
-0.4123864743  0.6214878646
-0.2546862274  0.7753919717
 0.0018185018  0.4577305482
-0.1659628570  0.7311857076
-0.4000574806  1.2155846942
-0.5579899842  1.4749588845
-0.3072012644  1.2673594908
-0.2728675651  1.3965480380
-0.4540611660  1.2927875352
-0.4947289846  1.4621583210
-0.5454038584  1.4795609150
-0.2554944694  1.4508493134
 0.1903462684  0.1185953652
-0.4509130140  0.9862341301
-0.0157764295  0.1714339009
-0.4458373195  1.4402634548
-0.4839049007  1.2212316132
-0.5344009458  1.1781420698
-0.4030729165  1.0394934351
-0.4566822754  1.0437551270
 0.0314111583  0.7511250715
 0.3315655474  0.0835026198
-0.4398084064  1.6851234364
-0.0066672763  0.1231980750
-0.1698110127  1.2321062926
-0.1233847884  0.2848817147
-0.3986635918  0.7544247893
-0.3732396264  0.9260850869
-0.3805160236  1.6064673555
-0.4657086563  1.3764674572
-0.2779823932  0.6825060859
-0.2491215085  0.8596185788
 0.1920613332  0.1235249809
-0.1225814357  1.5814262337
-0.4715126663  1.2247660740
-0.4281979091  1.1042822071
-0.3328300377  0.9749259861
-0.0770784027  0.3469394627
-0.4015476142  1.2979136358
-0.3071059208  0.9450744885
 0.1699383150  0.5828584622
-0.5809798757  1.5095788374
-0.2825533894  1.1400678691
-0.4022056796  0.9207492613
-0.2267465961  0.8311656339
-0.4154028897  1.1753958314
-0.5088628705  1.2715860640
 0.1500421361  0.1139433523
-0.6205711452  1.5805942845
-0.4088907559  1.4937228690
-0.4337698790  1.1996729167
-0.4548501377  0.8950908969
-0.4283555886  1.2449200439
-0.1612476698  0.9082168531
-0.6657895441  1.5037770686
-0.3533993081  1.0097057884
-0.3773095930  1.2938705920
-0.4292220649  1.2055291511
-0.4636931892  1.3108419452
-0.0057862769  0.4562141554
-0.4499284421  1.5130843605
-0.4994094880  1.3647948072
-0.4546904711  1.0161555120
-0.3204416331  0.7293268096
-0.5053468253  1.4221464560
-0.4053513793  1.0729480318
-0.3498550492  1.4483042956
-0.5594278994  1.1813289871
 0.0603223592  0.2511513432
-0.3626704959  1.6234353767
-0.0902112327  0.5118833610
-0.3683449520  0.5106790310
-0.4656890864  1.0038050736
 0.0656262624  0.7276225780
-0.5548736072  1.1754828208
-0.4742095842  1.0767496406
-0.5175509892  1.5309804698
-0.5319049171  1.2911245466
-0.9928944321  1.9295875014
 0.1927502002  0.7631283768
-0.5370698239  1.3977662561
-1.0192773672  2.5758191919
-0.6616002983  1.5209679953
-0.3160135218  0.7718078790
-0.4171701571  1.2833690819
-0.0272738432  0.2808059284
-0.0944702012  1.0815993127
-0.4911131811  1.2876673913
-0.4549600787  1.1987670210
-0.4809384918  1.3423239663
-0.5386396227  1.1675831480
-0.5971130960  2.1811000797
-0.4131128802  1.0991279277
-0.4816006439  0.9039035267
-0.0043363190  0.1225435241
-0.3038097967  1.4799206507
-0.0751764830  0.3787611753
-0.1798996904  1.7566969508
-0.2247618747  0.6167904863
-0.4884287303  1.4323438413
-0.4782912883  1.4172889688
-0.4205010008  1.1148444131
-0.4381615139  1.5917322390
 0.1593197164  0.9483640560
-0.5714938470  1.4561230032
-0.4343257291  1.0815993127
-0.4298461834  1.5390760988
-0.4313026343  1.3698464256
-0.1238757969  0.7184186418
-0.3147712811  0.4815859364
-0.1993443316  0.5121505369
-0.0732155267  0.1889284838
-0.5439660935  1.3372395625
-0.6141098888  1.3836717738
-0.4474898919  1.3478567049
-0.4558547750  1.5557351347
-0.4065141053  1.1658376247
-0.2492957690  0.7789467280
-0.1104617118  0.5663196215
-0.1232476884  1.0863598307
-0.4561769737  0.9958983236
-0.1529088937  0.2567177460
-0.4601787493  1.3884209407
-0.3846988058  1.2166935992
-0.5401118643  1.2152673434
-0.2230686291  1.0426936182
-0.3521176510  1.0804821791
-0.4232801746  1.8925342424
-0.4293904419  1.7138683913
-0.3339325552  1.0605467551
-0.4148484553  1.0527324074
-0.4359430654  1.0208168870
-0.0363480717  0.5906189482
-0.4496795435  1.2475559469
-0.2677431896  0.5225746327
-0.2729845463  0.8886287254
-0.4712789174  1.1109598811
 0.1100775202  0.1894903137
-0.2661623047  1.0382226384
-0.4313539164  1.1942089796
-0.2766755192  1.3374592613
-0.7143974694  1.8993608041
-0.2887367156  1.0004340775
-0.3831750482  1.5763874268
-0.3828589643  1.5623523528
-0.3676929470  1.3917288225
-0.4664657651  1.1059867955
-0.3896151158  1.5639673178
-0.4802244888  1.2157961326
-0.3739671383  0.9418591265
-0.4128553941  1.4404052601
-0.5542644058  1.5444773291
-0.5352273145  1.4412551209
-0.3345386764  0.2633993313
-0.2904676217  1.1570031968
-0.4306668635  1.5513645946
-0.2352530149  0.6902847025
-0.4829688332  1.5352814582
-0.0288907040  0.3378584290
-0.5288191908  1.0984014223
-0.4597392965  1.2055832586
-0.4645737579  0.9610412170
-0.4979459658  1.2072033593
-0.4310235191  1.0298705640
-0.5412814180  1.1025366069
-0.4750130745  1.4828592974
-0.3209923675  0.7733475420
-0.3928181817  0.8854177651
-0.4571262591  1.3551065530
 0.2344305056  0.8659326682
-0.0085613716 -0.0056828473
-0.5231673177  1.4500950759
-0.7000827539  1.7184684720
-0.0686119327  0.4765418090
-0.4400903399  1.4445756229
-0.2702595426  1.2393995931
-0.3438727421  1.2634703661
-0.1758679096  0.5933968423
-0.4595174579  1.1388708573
-0.6474419027  1.9120146939
-0.8201533981  1.5375042748
-0.2279643462  1.0730948645
-0.4779435346  1.1588748985
-0.4143255289  0.9635989626
-0.4263637265  1.1948472196
-0.4424376990  0.8463989730
-0.3352617708  1.0053521365
 0.0874404708 -0.0680338853
-0.4713310500  1.2125604580
-0.5538735870  1.2110404057
-0.4772744791  1.0890922558
-0.5743779463  1.3151092956
-0.3340029498  0.0599418881
-0.3328937858  1.0432836656
-0.1982751051  0.5844443072
-0.2014487357  0.6528263026
-0.5518027173  1.4788693861
-0.4537403807  1.4588039821
-0.2581060757  1.1206068311
-0.4540037650  1.1609184995
-0.3833124267  1.4513565322
-0.4057994590  1.3633298789
-0.1379289955  0.5550944486
-0.4080615127  1.3961819052
-0.3598665098  1.0858255335
-0.4534122343  1.5814603894
-0.1515355884  1.1263262601
-0.4331856414  1.1308160500
-0.3475387123  1.2600713880
-0.7750052018  1.9509973340
-0.2431359405  0.6607706435
-0.2522339816  0.6446355038
-0.2842098501  0.7292458072
-0.1184223295  1.3304137733
-0.4797625358  1.4939457484
 0.1071800372  0.0338256940
-0.8434891053  2.2468701818
-0.2233267038  0.7471009314
-0.4803171197  1.3620109792
-0.5755910796  1.6822714639
-0.1026564600  0.5582284218
-0.0992698495  0.6676397061
-0.6381343215  1.7376298986
-0.5937844866  1.8719988489
-0.4013981065  1.2828259592
-0.0166181890 -0.0070049016
-0.3185003807  1.2591636713
-0.4023450770  1.3903521258
-0.3909950362  1.1569124257
-0.4204787355  1.2099437357
-0.2360894484  0.8737854608
-0.6280056388  1.6831281230
-0.4577152349  1.3400671661
-0.2216808149  0.8129133566
-0.4483991089  1.2490515288
-0.3548192499  1.3009648466
-0.5092096686  1.1257414391
-0.5303557295  1.5131243366
-0.1395579434  0.6173149333
-0.0017581991  0.6637951222
-0.4919158748  1.6283889301
-0.4958565653  1.3324990549
-0.4241931203  0.9855611878
-0.3971586672  1.1919816808
 0.1153159599  0.4543874671
-0.2284202677  0.6816029987
-0.4269591688  1.5083411471
-0.3980400305  1.3039516339
-0.2130047254  1.0797237751
-0.3052329309  1.0567905483
-0.2657913178  1.0243625044
-0.3551530434  1.3763214145
-0.1269019999  0.8920389203
-0.2442500831  0.2716093014
-0.2437791165  0.7398886551
-0.3002326281  1.3440384055
-0.1912563363  0.5493711523
-0.4301279860  1.1355460683
-0.0186694948  0.2201080880
-0.4355057304  1.4650704040
 0.2132271972 -0.1917890271
-0.5318077341  1.5207323783
-0.4413417179  0.8204641906
-0.4016957326  1.3701243266
-0.4223740538  0.9933480399
 0.1454749676  0.0111473608
-0.4344175922  1.3103958940
-0.2014859102  1.0829289150
-0.4057387056  1.0132165396
-0.4992388287  1.2512731137
-0.1849748069  1.1014721170
-0.4556920258  1.1615776110
-0.3931284150  1.5181321194
-0.3354820445  1.0468851908
-0.2416231029  1.3090549852
-0.3556003846  1.5152643447
-0.3260348259  1.2860296005
-0.4072714022  1.1740016264
-0.4914721630  1.3607826899
-0.1641743855  0.1027766149
-0.3867423543  1.5034774424
-0.3114648327  1.3983220198
-0.4598414734  1.6717465842
-0.4421022183  1.1531743794
-0.4456362660  1.0479365161
-0.3741407127  1.4640869604
-0.0284702036  1.0727276896
 0.2635785332  0.2922560714
-0.5282763601  1.2162978866
-0.2745204473  0.6021685514
-0.5167275798  1.2245330626
-0.3850262533  1.5641213755
-0.4710884788  1.6009837801
-0.2297024164  0.6246945313
 0.1394241478  1.0573998173
-0.4358073778  1.3169971707
 0.0426704025  0.1185953652
-0.1621402154  0.2420442394
-0.4229176011  1.2526588895
-0.3697099982  1.7372880816
-0.3853216713  0.9170326222
 0.0599755347  1.2226384472
-0.2273373295  1.5487823782
-0.4301223426  1.0887737673
-0.4655396529  1.0097907194
-0.5333288538  1.5997848537
-0.1864151783  0.1989318699
-0.5926991829  1.6683113533
-0.4300057485  1.5363185044
-0.4412618921  1.2523918032
-0.3240408854  0.6532125138
-0.2880203457  0.7925317619
-0.4944068891  1.1872950547
-0.3948525703  1.4434663931
-0.4750367496  1.1454450361
 0.0854343241 -0.1985962900
-0.4309139885  1.0262471815
-0.2423055619  0.3881012016
-0.5416647455  1.6690657169
-0.7126385978  2.2986871835
-0.4328739563  1.8462071755
-0.5272451423  1.2268833284
-0.3694396606  0.2835273649
-0.4172198946  0.8649261915
-0.6928162885  1.3322162059
-0.4110733783  1.2306787811
-0.4117975448  1.0871067441
-0.4457650149  1.1804126328
-0.4435610915  1.4180691635
-0.1198397513  0.4805817868
-0.4587375394  1.0806264869
 0.0491718284  0.8786366730
-0.3575205375  1.4983105538
 0.0014210966  0.3958503760
-0.3008877529  1.0131744099
-0.3468502019  1.0067226922
-0.5683273803  1.3898745584
-0.6048775360  1.6583262653
 0.0326010906  0.1085650237
-0.4506261384  1.3351568995
-0.4492579864  1.5488928341
-0.4036686229  1.4092397267
-0.0746525054  0.4522465745
-0.0588367019  0.5481436374
-0.4290206335  1.1563674001
-0.3583512495  1.9437467094
-0.1858599668  1.0575520011
-0.2564571908  0.2068258760
-0.3294725991  0.4668676204
-0.4707282136  1.2107197157
 0.1469007778 -0.1499667423
-0.4659492695  1.2415464806
-0.4364292742  1.2821234188
-0.5968079410  1.5235513806
-0.3905107968  1.2487087356
-0.4190014301  1.1692628641
-0.4592565727  1.6231872439
-0.2721908618  1.0062520514
-0.6707448208  1.4844991419
-0.5794041797  1.3858564124
-0.3876514633  1.0609621131
-0.5167365242  1.0608866230
-0.2942862489  1.0753279342
 0.2148212563 -0.1877553032
-0.2768152738  0.8477576884
-0.2851234296  1.1619965254
-0.4161730385  1.4703369752
-0.6202004987  1.2562124586
-0.0443185374  0.4985862088
-0.3226390871  1.7467198041
 0.2510826113  0.2819419334
-0.5013207590  1.3390537357
-0.2913799074  1.0871422794
-0.2228642144  0.9686697017
-0.4223521654  1.4857498108
-0.4984542747  1.6758149895
-0.4534412616  1.4072378971
-0.5882483940  1.0211479357
-0.4625629850  1.7918449750
-0.1316274459  0.9231921904
-0.4187555863  1.4080533143
-0.1630742297  0.5861370252
-0.4631639593  0.8337843747
-0.4294020802  1.0995770609
 0.2992254265  0.0927206447
-0.5843663409  1.4939457484
-0.2669121873  1.0155274043
-0.4665855815  1.1971426650
