"","log.AGN.NII.AGN.H_alpha..10.","log.AGN.EW_H_alpha..10."
"47397",-0.388926024382727,1.19512442298668
"104257",-0.394828795119316,1.05997971694416
"64175",-0.445101716434035,1.46605162569934
"2950",-0.34591918593451,1.43767130477073
"29366",-0.323025366384285,1.17169720724884
"81400",-0.288002423004099,1.24321173174476
"11039",-0.445377280434612,1.13052674538416
"106513",-0.224317686293599,1.54821738625033
"101662",-0.442033245764339,1.02897770520878
"58796",-0.424173149680003,1.70958369325087
"59219",0.129261228208642,0.248708735600918
"8748",-0.494349915140378,1.42815099874445
"30470",-0.603796650572656,1.53072463374135
"42605",0.109249068867041,-0.0830199526796178
"82929",-0.478640322931999,0.872447647789013
"102099",-0.336823292903906,1.5426636252388
"23580",0.0988101383075408,-0.0186344909214556
"33807",-0.562533783516663,1.45328775485164
"8012",-0.389030909920263,1.11069069727375
"14004",-0.491118634125073,1.07103467505415
"9399",-0.581137130349408,1.24910047718292
"27145",-0.440459755039139,1.02546971906106
"10708",-0.401175591455443,0.970579305714851
"58027",0.0274669190146918,0.205204363948145
"93952",0.1165433119291,0.055378331375
"78375",-0.172200834698328,0.55339751012388
"67555",-0.486461635422658,1.34101882755604
"17068",-0.469867584370529,1.81246546837942
"3421",-0.510100332948208,1.65391646510638
"82267",0.137485979522545,0.00432137378264258
"44663",-0.0592460379022141,-0.407823242604133
"97369",-0.359016030677616,1.82055610892272
"46803",0.492827644269406,0.670802284260944
"26893",0.1756921875432,0.189770956346874
"16402",-0.413534690641748,1.09173728299166
"2493",-0.195559950888046,0.933588510196653
"56326",-0.35305713356532,1.15494104473033
"71601",0.0373178945076311,-0.153662887870195
"6084",-0.168406059471222,0.469822015978163
"99549",-0.545069864542797,1.66698571832966
"65491",-0.0197244428425565,0.615950051656401
"88231",-0.118579621217393,1.14522749265239
"40144",-0.55064831979572,1.45747313470736
"76586",-0.0793675503348945,1.44164801252565
"86000",-0.536999219558592,1.60791588138809
"80227",-0.482258976076806,1.53290718301046
"59686",-0.440442794052292,1.32668397638188
"3015",-0.462039921001678,1.44238568786787
"70591",-0.422106816144874,0.966517176446792
"10772",-0.306879550013053,0.766264090651996
"77039",-0.452505493419796,1.41400345499714
"37309",-0.343979982114821,1.05353939645282
"95654",-0.058867798995255,1.01694981309756
"1665",0.0136956296804859,-0.130768280269024
"5011",0.176495031744082,-0.0550240915879521
"71646",-0.62121812423686,1.34048377462572
"2937",-0.675946014224668,1.57729643827929
"80962",-0.41071506277625,1.05774215582875
"66860",-0.614810000829629,1.68403703748652
"36882",-0.103662794842747,-0.00788851221305034
"29233",-0.624327620588402,1.3945392313722
"53599",-0.292859519131805,0.913813852383717
"10261",0.264329986768438,-0.125518182300534
"51742",-0.481558442029441,1.22279448111371
"49088",-0.11875637697616,1.18912520692553
"38042",-0.358701460081056,1.0119508660594
"100454",-0.223278074656695,0.900858504701992
"61135",-0.486168423613934,1.17225255242369
"49929",-0.466219419838954,0.8555191556678
"29324",-0.246471987666529,-0.462180904926726
"36298",-0.457519439566778,1.24415337255143
"59469",-0.311839068100876,1.04044409836268
"68731",-0.459921604455293,1.47899913167336
"63459",-0.0882394754083362,0.87719851527179
"74",0.0110408043414777,-0.305394801066431
"18289",-0.0155390199874537,0.04766419460156
"60720",-0.328801274385063,1.02288181333203
"4881",-0.492241383476385,1.2780902240376
"67128",-0.205958362169182,0.539201599294128
"5696",-0.348061521059257,1.05842602445701
"22106",0.0329100312313734,1.37399638426233
"61208",-0.414322173429048,0.626340367375042
"9534",0.121450466892213,0.307496037913213
"92020",-0.662466003604998,1.70723794150588
"29828",-0.295251181366624,1.39818314550994
"62721",-0.416824258681916,1.03786455577437
"36931",-0.361876466501864,1.69598047835182
"15173",-0.160345994481924,-0.216811308924742
"60613",-0.516687056993885,1.34558935374065
"36405",-0.424523676735065,1.36131222510233
"64449",-0.302036822316153,0.42586014507784
"73663",-0.350779782722421,0.675595056386746
"27782",-0.211763986010442,0.261738547352538
"86334",-0.345094473172677,1.18757711905509
"99168",-0.498806988507464,1.32436477820229
"105205",-0.426279345492733,1.06703363984226
"97722",-0.0612575358192861,0.372359582524324
"26362",-0.0286091120260621,0.351989455435632
"92966",0.0280009212145558,0.285557309007774
"53590",-0.398047003434453,1.20392993724463
"27776",0.0537973351708506,-0.459670525209126
"16963",-0.312232618878433,0.68556261115823
"88648",-0.45443831411324,0.922414024145634
"11134",-0.312211341815512,1.30033456800233
"1551",-0.0346516296609459,0.857995495560924
"20573",-0.107412729582887,-0.277366077466188
"10855",-0.597817311590316,1.4306071113014
"56896",-0.118790637304022,0.732152418065214
"80096",-0.445474177523536,1.00225247992054
"105594",-0.282472781680024,1.17866045853817
"24649",0.000220225068538345,-0.0757207139381184
"57220",-0.523543100309055,1.12132999793609
"28913",-0.776284378726432,1.50599060977958
"1352",-0.37653473331379,0.839226574013435
"65804",-0.451054109980667,1.12972210869588
"75351",-0.326938251952091,0.875697761980208
"95837",-0.373176033107618,0.733116981442064
"49173",-0.140070903155827,0.427323786357247
"48347",-0.128810806880613,0.260548372636979
"60627",-0.137681025032852,0.773567048926059
"28608",-0.481532209925322,0.96717342295554
"47284",0.860517414082417,-0.829738284605043
"65531",-0.456598553967558,1.19934371868939
"53467",0.238257573670543,-0.073657553374345
"105925",-0.775743849550867,1.6493056450963
"75489",-0.0948129534787488,1.52544650565088
"21678",-0.60235262335475,1.46411679444404
"11311",-0.342278261885838,0.917137752756444
